iso2c,port,total_in_port,total_ips,port_name,ssl,port_group,un_code,country_name,region,sub_region,iso3c,iso3n,imf,wb,continent
AS,587,4,347,smtp-sub,FALSE,mail,16,American Samoa,Oceania,Polynesia,ASM,16,859,ASM,Oceania
FO,587,128,1148,smtp-sub,FALSE,mail,234,Faeroe Islands,Europe,Northern Europe,FRO,234,816,FRO,Europe
VI,587,55,3973,smtp-sub,FALSE,mail,850,United States Virgin Islands,Latin America and the Caribbean,Caribbean,VIR,850,NA,VIR,Americas
BJ,587,33,1549,smtp-sub,FALSE,mail,204,Benin,Africa,Western Africa,BEN,204,638,BEN,Africa
LA,587,49,5704,smtp-sub,FALSE,mail,418,Lao People's Democratic Republic,Asia,South-Eastern Asia,LAO,418,544,LAO,Asia
MC,587,45,2810,smtp-sub,FALSE,mail,492,Monaco,Europe,Western Europe,MCO,492,NA,MCO,Europe
TK,587,1,133,smtp-sub,FALSE,mail,772,Tokelau,Oceania,Polynesia,TKL,772,NA,TKL,Oceania
MD,8080,9897,100117,web-alt,FALSE,web,498,Republic of Moldova,Europe,Eastern Europe,MDA,498,921,MDA,Europe
SK,8080,16061,130480,web-alt,FALSE,web,703,Slovakia,Europe,Eastern Europe,SVK,703,936,SVK,Europe
TH,8080,572116,1475645,web-alt,FALSE,web,764,Thailand,Asia,South-Eastern Asia,THA,764,578,THA,Asia
RE,8080,972,27030,web-alt,FALSE,web,638,Réunion,Africa,Eastern Africa,REU,638,696,REU,Africa
GP,8080,2272,7055,web-alt,FALSE,web,312,Guadeloupe,Latin America and the Caribbean,Caribbean,GLP,312,329,GLP,Americas
BR,8080,504580,3673992,web-alt,FALSE,web,76,Brazil,Latin America and the Caribbean,South America,BRA,76,223,BRA,Americas
FK,8080,1291,1418,web-alt,FALSE,web,238,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,FLK,238,323,FLK,Americas
BM,8080,1886,5103,web-alt,FALSE,web,60,Bermuda,Latin America and the Caribbean,Northern America,BMU,60,319,BMU,Americas
AX,8080,112,4771,web-alt,FALSE,web,248,Åland Islands,Europe,Northern Europe,ALA,248,NA,ALA,Europe
HN,8080,12596,28404,web-alt,FALSE,web,340,Honduras,Latin America and the Caribbean,Central America,HND,340,268,HND,Americas
UY,8080,8462,42363,web-alt,FALSE,web,858,Uruguay,Latin America and the Caribbean,South America,URY,858,298,URY,Americas
HT,8080,2379,6761,web-alt,FALSE,web,332,Haiti,Latin America and the Caribbean,Caribbean,HTI,332,263,HTI,Americas
AP,8080,151,12550,web-alt,FALSE,web,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF,8080,40,284,web-alt,FALSE,web,663,Saint Martin (French part),Latin America and the Caribbean,Caribbean,MAF,663,352,MAF,Americas
TM,8080,17,591,web-alt,FALSE,web,795,Turkmenistan,Asia,Central Asia,TKM,795,925,TKM,Asia
CA,8081,58172,2003404,web-alt,FALSE,web,124,Canada,Latin America and the Caribbean,Northern America,CAN,124,156,CAN,Americas
AU,8081,206479,1207909,web-alt,FALSE,web,36,Australia,Oceania,Australia and New Zealand,AUS,36,193,AUS,Oceania
AT,8081,7864,365764,web-alt,FALSE,web,40,Austria,Europe,Western Europe,AUT,40,122,AUT,Europe
DE,8081,75431,4591820,web-alt,FALSE,web,276,Germany,Europe,Western Europe,DEU,276,134,DEU,Europe
MZ,8081,582,7147,web-alt,FALSE,web,508,Mozambique,Africa,Eastern Africa,MOZ,508,688,MOZ,Africa
MO,8081,1503,34345,web-alt,FALSE,web,446,"China, Macao Special Administrative Region",Asia,Eastern Asia,MAC,446,546,MAC,Asia
LI,8081,50,3884,web-alt,FALSE,web,438,Liechtenstein,Europe,Western Europe,LIE,438,NA,LIE,Europe
AD,8081,75,4775,web-alt,FALSE,web,20,Andorra,Europe,Southern Europe,AND,20,NA,ADO,Europe
ST,8081,14,237,web-alt,FALSE,web,678,Sao Tome and Principe,Africa,Middle Africa,STP,678,716,STP,Africa
MW,8081,18,3705,web-alt,FALSE,web,454,Malawi,Africa,Eastern Africa,MWI,454,676,MWI,Africa
DJ,8081,2,562,web-alt,FALSE,web,262,Djibouti,Africa,Eastern Africa,DJI,262,611,DJI,Africa
MY,8443,7323,226639,web-alt,TRUE,web,458,Malaysia,Asia,South-Eastern Asia,MYS,458,548,MYS,Asia
