cc,port,n
AM,3389,1381
BS,3389,772
FK,3389,1289
AR,3389,27419
GH,3389,761
BF,3389,49
KH,3389,784
GT,3389,1911
KG,3389,473
FO,3389,116
BH,3389,595
JE,3389,138
PF,3389,2110
CR,3389,3517
BI,3389,28
GD,3389,62
SZ,3389,78
ER,3389,9
GY,3389,66
US,443,24463608
TR,443,184806
VE,443,29226
AG,443,2073
KN,443,510
PE,443,38440
GT,443,24846
ET,443,420
MU,443,6601
BG,443,76372
BE,443,373691
MT,443,5705
ZM,443,3272
GH,443,2914
SL,443,189
BQ,443,3367
VA,443,184
SJ,443,116
IN,465,28228
MY,465,10976
IM,465,355
AR,465,12425
NP,465,388
GT,465,320
IQ,465,76
CO,465,4959
LS,465,9
MQ,465,31
AP,465,48
NE,465,10
CN,53,884978
TW,53,321293
VN,53,341976
RO,53,84867
IL,53,14838
EU,53,6424
JM,53,3462
NA,53,397
DZ,53,1860
NP,53,4424
LU,53,3082
KH,53,6489
TG,53,371
GU,53,210
PY,53,1312
VA,53,12
KR,587,128035
RS,587,1904
BW,587,126
ZW,587,673
FK,587,1278
CY,587,2240
IM,587,364
MN,587,276
JO,587,469
UZ,587,261
BH,587,106
BO,587,317
HT,587,31
SX,587,10
MQ,587,23
%,587,11
KN,587,28
TC,587,7
AU,8080,275099
DK,8080,31789
DE,8080,733087
PK,8080,49819
GH,8080,740
GU,8080,1611
SZ,8080,45
SL,8080,16
SO,8080,43
SJ,8080,1
KR,8081,149149
NL,8081,160426
GI,8081,2004
HU,8081,7653
PT,8081,51306
ZA,8081,50385
EE,8081,2441
CZ,8081,12689
AM,8081,1179
A1,8081,141
KZ,8081,821
CL,8081,2826
PY,8081,773
BZ,8081,98
CU,8081,123
